"Total all parties","","377,594","71,264","812,848","603,310","1,865,016","30,455"
"Party","Member","Accommodation","Travel","Subtotal Parliamentary Service","Inter Parliamentary - Office of the Clerk"
"Wellington","Out of Wellington","Air","Surface"
"","Goodhew, Jo","5,327","1,160","6,567","5,610","18,664",""
"","Goudie, Sandra","4,834","880","4,282","8,216","18,211",""
"","Groser, Tim","-","-","-","-","-",""
"","Guy, Nathan","-","-","661","- 108","553",""
"","Hayes, John","4,923","928","3,801","7,043","16,695",""
"","Heatley, Philip","-","-","4,122","491","4,613",""
"","Henare, Tau","7,822","116","6,278","5,905","20,121",""
"","Hutchison, Paul","6,000","409","7,437","10,971","24,817",""
"","Joyce, Steven","-","-","3,339","-","3,339",""
"","Kaye, Nikki","4,551","333","8,395","5,120","18,400",""
"","Key, John","-","-","2,524","-","2,524",""
"","King, Colin","5,026","1,550","8,939","4,658","20,173",""
"","Lee, Melissa","5,316","-","5,980","5,753","17,049",""
"","Lotu-liga, Peseta Sam","5,333","231","6,828","4,429","16,821",""
"","Macindoe, Tim","2,987","249","5,034","2,923","11,192",""
"","Mapp, Wayne","-","-","540","-","540",""
"","McClay, Todd","6,187","558","7,338","7,105","21,188",""
"","McCully, Murray","-","-","-","65","65",""
"","Parata, Hekia","-","497","1,828","3,462","5,788",""
"","Peachey, Allan","4,456","524","6,753","8,863","20,597",""
"","Power, Simon","-","-","-","-","-",""
"","Quinn, Paul","-","-","2,693","4,073","6,766",""
"","Roy, Eric","3,505","337","7,031","5,481","16,353",""
"","Ryall, Tony","-","-","2,086","-","2,086",""
"","Shanks, Katrina","-","427","1,120","2,379","3,926",""
"","Smith, Lockwood","6,000","586","7,597","12,438","26,621",""
"","Smith, Nick","-","-","4,762","-","4,762",""
"","Te Heuheu, Georgina","-","-","2,560","-","2,560",""
"","Tisch, Lindsay","-","106","3,476","13,013","16,595",""
"","Tolley, Anne","-","-","8,717","-","8,717",""
"","Tremain, Chris","2,702","222","5,896","6,798","15,618",""
"","Upston, Louise","4,255","612","7,622","7,476","19,966",""
"","Wagner, Nicky","5,778","489","22,506","7,114","35,887",""
"","Wilkinson, Kate","-","-","-","2,243","2,243",""
"","Williamson, Maurice","-","-","1,686","-","1,686",""
"","Wong, Pansy","-","-","755","-","755",""
"","Woodhouse, Michael","4,745","249","8,422","3,727","17,142",""
"","Young, Jonathan","6,094","133","6,707","1,505","14,439",""
"Total National","","151,571","16,216","270,672","235,294","673,753","10,326"
"Progressive","Anderton, Jim","4,907","1,419","8,173","4,398","18,896",""
"Total Progressive","","4,907","1,419","8,173","4,398","18,896","-"
"United Future","Dunne, Peter","-","-","1,488","-","1,488",""
"Total United Future","","-","-","1,488","-","1,488","-"
