"Total all parties","","336,133","51,259","806,712","455,756","1,649,860","46,417"
"Party","Member","Accommodation","Travel","Subtotal Parliamentary Service","Inter Parliamentary - Office of the Clerk"
"Wellington","Out of Wellington","Air","Surface"
"Act","Boscawen, John","569","-","3,430","3,223","7,222","-"
"","Douglas, Roger","1,707","262","9,882","2,276","14,127","-"
"","Garrett, David","750","492","11,943","9,267","22,453","-"
"","Hide, Rodney","-","-","2,374","193","2,567","-"
"","Roy, Heather","-","133","1,330","368","1,831","-"
"Total Act","","3,026","888","28,959","15,327","48,199","-"
"Green","Clendon, David","5,086","1,173","8,997","4,622","19,878","-"
"","Delahunty, Catherine","4,969","120","5,029","3,926","14,044","-"
"","Graham, Kennedy","3,975","218","9,779","1,674","15,645","-"
"","Hague, Kevin","5,586","810","12,960","3,790","23,147","-"
"","Hughes, Gareth","-","376","8,499","4,750","13,625","919"
"","Kedgley, Sue","-","747","3,579","1,621","5,947","-"
"","Locke, Keith","4,121","253","10,094","3,673","18,142","-"
"","Norman, Russel","-","1,176","6,439","3,189","10,804","-"
"","Turei, Metiria","3,548","791","11,751","4,871","20,961","4,096"
"Total Green","","27,285","5,664","77,127","32,116","142,192","5,015"
"Labour","Ardern, Jacinda","3,953","357","7,959","2,846","15,115","-"
"","Barker, Rick","4,658","820","7,796","6,179","19,453","-"
"","Beaumont, Carol","3,200","121","9,253","3,344","15,918","-"
"","Burns, Brendon","4,066","548","6,197","3,096","13,906","-"
"","Carter, Chris","1,778","-","1,627","1,894","5,299","-"
"","Chadwick, Stephanie","3,556","429","8,705","7,316","20,006","-"
"","Chauvel, Charles","-","2,143","7,709","3,283","13,135","-"
"","Choudhary, Ashraf","5,533","535","7,371","3,951","17,390","-"
"","Cosgrove, Clayton","4,292","801","15,914","7,023","28,029","-"
"","Cunliffe, David","2,276","121","6,746","3,444","12,586","-"
"","Curran, Clare","4,241","900","8,171","7,464","20,776","-"
"","Dalziel, Lianne","3,556","769","11,894","4,189","20,407","-"
"","Davis, Kelvin","2,482","1,496","11,607","8,555","24,140","-"
"","Dyson, Ruth","1,949","757","9,403","4,945","17,055","-"
"","Fenton, Darien","3,228","-","7,067","4,614","14,910","-"
"","Goff, Phil","5,037","-","16,008","13,589","34,633","-"
"","Hawkins, George","4,793","-","15,237","5,088","25,117","-"
"","Hipkins, Chris","-","423","4,266","4,380","9,069","-"
"","Hodgson, Pete","2,889","402","7,207","3,319","13,817","-"
"","Horomia, Parekura","3,627","2,908","10,984","4,269","21,788","-"
"","Hughes, Darren","1,867","1,625","7,138","6,708","17,338","-"
"","Huo, Raymond","2,844","121","6,183","5,282","14,430","-"
"","Jones, Shane","5,333","920","11,576","10,738","28,566","919"
"","King, Annette","-","545","4,818","2,111","7,474","-"
"","Laban, Winnie","-","717","6,201","3,248","10,166","-"
"","Lees-Galloway, Iain","3,200","526","3,379","3,566","10,671","-"
"","Mackey, Moana","2,825","1,194","8,546","4,140","16,704","-"
"","Mahuta, Nanaia","5,333","387","10,767","6,342","22,829","-"
"","Mallard, Trevor","-","806","8,469","4,249","13,523","-"
"","Moroney, Sue","3,749","-","4,958","2,708","11,415","-"
"","Nash, Stuart","4,109","733","7,250","2,975","15,067","-"
"","O'Connor, Damien","3,570","852","13,214","8,241","25,878","-"
"","Parker, David","6,207","484","9,463","4,511","20,664","-"
"","Pillay, Lynne","3,282","242","7,998","4,651","16,172","-"
"","Prasad, Rajen","2,533","121","5,633","7,899","16,186","-"
"","Ririnui, Mita","6,578","506","9,459","3,717","20,260","-"
"","Robertson, Grant","-","-","5,365","914","6,279","-"
"","Robertson, Ross","2,667","-","15,283","9,880","27,830","-"
"","Sepuloni, Carmel","3,236","-","7,733","3,104","14,073","-"
"","Shearer, David","569","-","4,803","3,342","8,714","-"
"","Street, Maryan","6,906","385","10,256","3,987","21,534","8,181"
"","Twyford, Phil","5,985","-","8,636","3,261","17,881","-"
"","Sio, Su'a William","1,828","-","8,937","4,597","15,362","4,211"
"Total Labour","","137,732","23,694","367,185","212,957","741,568","13,310"
"Māori","Flavell, Te Ururoa","5,955","422","10,702","6,217","23,296","-"
"","Harawira, Hone","4,396","2,276","15,038","12,474","34,184","-"
"","Katene, Rahui","5,423","1,571","12,204","6,942","26,140","-"
"","Sharples, Pita","-","-","1,440","-","1,440","-"
"","Turia, Tariana","-","-","452","-","452","-"
"Total Māori","","15,774","4,269","39,837","25,633","85,513","-"
"National","Adams, Amy","7,043","320","7,055","4,143","18,561","-"
"","Ardern, Shane","5,333","383","9,689","3,198","18,603","-"
"","Auchinvole, Chris","5,200","1,267","9,380","5,450","21,297","-"
"","Bakshi, Kanwaljit Singh","1,467","-","4,780","4,231","10,477","-"
"","Bennett, David","2,560","290","4,384","4,868","12,102","-"
"","Bennett, Paula","-","-","-","20","20","-"
"","Blue, Jackie","4,533","-","8,738","5,818","19,089","-"
"","Borrows, Chester","3,940","405","9,792","5,400","19,537","-"
"","Bridges, Simon","1,707","120","12,713","4,171","18,711","-"
"","Brownlee, Gerry","-","-","4,424","-","4,424","-"
"","Calder, Cam","5,897","-","5,036","3,611","14,544","919"
"","Carter, David","-","-","1,805","12","1,817","-"
"","Carter, John","-","-","4,490","-","4,490","-"
"","Coleman, Jonathan","-","-","-","-","-","-"
"","Collins, Judith","-","-","1,312","-","1,312","-"
"","Dean, Jacqui","6,000","1,957","9,705","8,560","26,222","-"
"","English, Bill","-","-","6,046","-","6,046","-"
"","Finlayson, Chris","-","-","-","-","-","-"
"","Foss, Craig","3,681","467","4,246","2,889","11,283","10,974"
"","Gilmore, Aaron","4,825","486","5,090","2,963","13,364","-"
"","Goodhew, Jo","5,327","807","7,568","4,835","18,538","1,435"
"","Goudie, Sandra","4,841","462","5,072","6,051","16,426","3,965"
"","Groser, Tim","-","-","-","-","-","-"
"","Guy, Nathan","-","-","1,852","-","1,852","-"
"","Hayes, John","4,923","712","1,947","5,652","13,234","-"
"","Heatley, Philip","-","-","5,134","-","5,134","-"
"","Henare, Tau","4,693","142","6,565","5,396","16,797","-"
"","Hutchison, Paul","6,000","471","5,466","6,553","18,490","919"
"","Joyce, Steven","-","-","1,296","-","1,296","-"
