"Total all parties","","361,034","42,389","889,133","505,498","1,798,054","178,000"
"Party","Member","Accommodation","Travel","Subtotal Parliamentary Service","Inter Parliamentary - Office of the Clerk"
"Wellington","Out of Wellington","Air","Surface"
"Act","Boscawen, John","427","142","-","177","746","-"
"","Calvert, Hilary","5,786","847","11,719","2,921","21,273","-"
"","Douglas, Roger","3,361","387","7,039","4,331","15,117","-"
"","Hide, Rodney","-","-","3,565","839","4,404","-"
"","Roy, Heather","-","651","7,943","3,438","12,032","-"
"Total Act","","9,574","2,027","30,266","11,705","53,572","-"
"Green","Clendon, David","5,538","351","7,954","2,972","16,815","15,939"
"","Delahunty, Catherine","4,969","340","6,598","3,440","15,347","-"
"","Graham, Kennedy","4,326","135","5,738","3,549","13,747","-"
"","Hague, Kevin","4,942","920","14,082","4,892","24,835","-"
"","Hughes, Gareth","-","1,467","10,523","3,769","15,759","-"
"","Kedgley, Sue","-","-","1,699","785","2,484","-"
"","Locke, Keith","4,182","117","10,380","3,252","17,931","-"
"","Norman, Russel","-","1,503","7,314","3,453","12,270","-"
"","Tūrei, Metiria","3,549","631","16,483","6,212","26,876","-"
"Total Green","","27,506","5,465","80,770","32,324","146,065","15,939"
"Labour","Ardern, Jacinda","3,600","117","9,008","4,080","16,805","-"
"","Barker, Rick","3,900","1,725","8,472","8,596","22,693","-"
"","Beaumont, Carol","4,500","-","10,163","3,332","17,995","-"
"","Burns, Brendon","6,662","313","7,415","3,365","17,756","-"
"","Chadwick, Stephanie","5,256","226","12,408","8,682","26,572","-"
"","Chauvel, Charles","-","730","6,281","1,422","8,434","4,288"
"","Choudhary, Ashraf","4,690","267","8,679","4,470","18,107","-"
"","Cosgrove, Clayton","3,022","156","14,092","7,689","24,959","-"
"","Cunliffe, David","1,809","-","9,497","5,058","16,364","-"
"","Curran, Clare","3,741","654","9,283","4,914","18,592","-"
"","Dalziel, Lianne","5,333","823","9,663","4,229","20,049","-"
"","Davis, Kelvin","4,631","483","15,791","4,846","25,750","-"
"","Dyson, Ruth","1,160","973","28,731","8,141","39,005","-"
"","Faafoi, Kris","-","-","1,259","689","1,949","-"
"","Fenton, Darien","3,061","-","5,962","4,219","13,242","10,070"
"","Goff, Phil","3,385","-","18,485","19,702","41,572","-"
"","Hawkins, George","6,146","-","7,140","5,159","18,445","-"
"","Hipkins, Chris","-","580","2,636","5,555","8,772","-"
"","Hodgson, Pete","2,600","-","11,134","2,583","16,317","16,410"
"","Horomia, Parekura","3,627","2,377","6,989","3,197","16,189","-"
"","Hughes, Darren","1,096","1,569","3,624","4,439","10,727","17,239"
"","Huo, Raymond","3,339","-","8,302","6,271","17,911","-"
"","Jones, Shane","5,256","370","13,077","5,696","24,399","-"
"","King, Annette","-","1,114","8,039","2,314","11,467","-"
"","Laban, Winnie","-","-","-","1,196","1,196","-"
"","Lees-Galloway, Iain","5,513","387","2,024","3,352","11,276","-"
"","Mackey, Moana","4,146","2,486","9,753","5,699","22,083","-"
"","Mahuta, Nanaia","5,333","592","9,243","6,942","22,110","-"
"","Mallard, Trevor","-","695","6,438","6,306","13,439","-"
"","Moroney, Sue","1,843","-","10,037","3,253","15,133","-"
"","Nash, Stuart","5,912","74","7,928","5,226","19,140","-"
"","O'Connor, Damien","5,716","143","13,938","7,761","27,559","-"
"","Parker, David","5,985","1,184","10,901","5,783","23,853","-"
"","Pillay, Lynne","7,277","-","9,188","4,217","20,682","-"
"","Prasad, Rajen","2,574","278","7,614","6,891","17,357","-"
"","Ririnui, Mita","5,973","133","14,786","7,434","28,327","-"
"","Robertson, Grant","-","396","4,862","988","6,245","14,681"
"","Robertson, Ross","2,609","70","14,991","7,644","25,313","-"
"","Sepuloni, Carmel","3,600","116","8,433","4,340","16,489","-"
"","Shearer, David","4,604","-","9,050","5,797","19,451","16,936"
"","Sio, Su'a William","2,365","132","12,065","5,524","20,087","-"
"","Street, Maryan","5,021","247","8,536","3,663","17,467","-"
"","Twyford, Phil","5,985","121","8,143","4,223","18,472","-"
"Total Labour","","151,271","19,531","404,059","224,888","799,750","79,624"
"Māori","Flavell, Te Ururoa","5,932","1,262","12,561","6,759","26,515","-"
"","Harawira, Hone","2,087","1,438","20,588","14,156","38,269","-"
"","Katene, Rahui","2,964","1,072","13,268","5,507","22,811","10,738"
"","Sharples, Pita","-","-","322","-","322","-"
"","Turia, Tariana","-","-","2,170","-","2,170","-"
"Total Māori","","10,983","3,773","48,909","26,422","90,086","10,738"
"National","Adams, Amy","4,389","313","10,079","5,218","19,999","-"
"","Ardern, Shane","5,217","243","18,892","13,003","37,355","-"
"","Auchinvole, Chris","5,200","2,173","11,913","11,786","31,072","-"
"","Bakshi, Kanwaljit Singh","2,870","230","8,599","3,784","15,482","-"
"","Bennett, David","1,530","522","5,958","2,686","10,697","-"
"","Bennett, Paula","-","-","357","20","377","-"
"","Blue, Jackie","4,533","-","6,079","4,916","15,527","2,556"
"","Borrows, Chester","3,928","77","8,007","5,085","17,096","-"
"","Bridges, Simon","2,783","256","11,294","3,631","17,964","-"
"","Brownlee, Gerry","-","-","-","-","-","-"
"","Calder, Cam","5,476","116","5,662","3,805","15,059","-"
"","Carter, David","-","-","54","-","54","-"
"","Carter, John","-","-","6,249","2,787","9,036","-"
"","Coleman, Jonathan","-","-","1,470","-","1,470","-"
"","Collins, Judith","-","-","1,793","-","1,793","-"
"","Dean, Jacqui","6,000","403","4,782","8,453","19,638","15,764"
"","English, Bill","-","-","1,575","-","1,575","-"
"","Finlayson, Chris","-","-","-","-","-","-"
"","Foss, Craig","6,914","139","5,981","3,757","16,791","-"
"","Gilmore, Aaron","4,651","145","6,836","4,383","16,015","-"
"","Goodhew, Jo","5,211","513","21,905","7,438","35,068","-"
"","Goudie, Sandra","4,689","-","3,695","7,171","15,555","-"
"","Groser, Tim","-","-","350","-","350","-"
"","Guy, Nathan","-","-","754","99","853","-"
"","Hayes, John","3,282","243","5,704","4,409","13,639","-"
"","Heatley, Philip","-","-","4,597","157","4,754","-"
"","Henare, Tau","4,693","260","12,080","6,936","23,970","-"
"","Hutchison, Paul","6,000","435","6,974","11,805","25,214","-"
"","Joyce, Steven","-","-","1,345","-","1,345","-"
"","Kaye, Nikki","2,783","117","8,624","9,410","20,933","-"
"","Key, John","-","126","1,998","-","2,124","-"
"","King, Colin","5,423","1,250","9,003","5,111","20,787","-"
"","Lee, Melissa","5,520","109","9,510","5,137","20,276","10,255"
"","Lotu-liga, Peseta Sam","6,000","-","5,672","5,018","16,690","-"
"","Macindoe, Tim","2,943","133","4,678","2,920","10,675","-"
"","Mapp, Wayne","-","-","1,522","-","1,522","-"
"","McClay, Todd","3,778","278","6,015","6,640","16,710","-"
"","McCully, Murray","-","-","-","-","-","-"
"","Parata, Hekia","-","145","1,337","1,297","2,780","-"
"","Peachey, Allan","4,514","-","5,629","4,940","15,082","-"
"","Power, Simon","-","-","-","-","-","-"
"","Quinn, Paul","-","-","3,868","2,784","6,651","-"
"","Roy, Eric","3,748","-","10,804","5,749","20,301","-"
"","Ryall, Tony","-","-","1,767","-","1,767","-"
"","Shanks, Katrina","-","-","732","2,107","2,839","-"
"","Smith, Lockwood","10,417","1,110","8,804","8,514","28,845","31,341"
"","Smith, Nick","-","-","2,846","-","2,846","-"
"","Te Heuheu, Georgina","-","-","664","-","664","-"
"","Tisch, Lindsay","-","368","5,958","10,510","16,836","-"
"","Tolley, Anne","-","-","3,402","-","3,402","-"
"","Tremain, Chris","3,200","-","4,952","2,881","11,033","11,783"
"","Upston, Louise","6,070","653","7,861","5,182","19,766","-"
"","Wagner, Nicky","6,000","137","7,988","3,401","17,526","-"
"","Wong, Pansy","2,564","-","1,650","815","5,030","-"
"","Wilkinson, Kate","-","-","-","-","-","-"
"","Williamson, Maurice","-","-","1,287","-","1,287","-"
"","Woodhouse, Michael","5,323","-","6,657","3,538","15,518","-"
"","Young, Jonathan","1,818","157","7,838","3,171","12,983","-"
"Total National","","147,466","10,650","304,051","200,452","662,620","71,699"
"Progressive","Anderton, Jim","5,316","943","6,917","4,185","17,361",""
"Total Progressive","","5,316","943","6,917","4,185","17,361","-"
"United Future","Dunne, Peter","-","-","2,922","-","2,922",""
"Total United Future","","-","-","2,922","-","2,922","-"
"Independent","Carter, Chris","8,918","-","11,238","5,522","25,678",""
"Total Independent","","8,918","-","11,238","5,522","25,678","-"
