"Total all parties","","301,893","53,693","642,339","472,504","1,470,429","90,757"
"Party","Member","Accommodation","Travel","Subtotal Parliamentary Service","Inter Parliamentary - Office of the Clerk"
"Wellington","Out of Wellington","Air","Surface"
"Act","Boscawen, John","1,422","-","7,124","2,925","11,471","-"
"","Douglas, Roger","2,133","533","2,864","5,753","11,284","-"
"","Garrett, David","1,050","986","5,096","5,334","12,466","-"
"","Hide, Rodney","-","-","2,261","-","2,261","-"
"","Roy, Heather","-","-","296","-","296","-"
"Total Act","","4 ,60 6","1 ,51 9","1 7,64 2","1 4,01 2","3 7,77 8","-"
"Green","Clendon, David","5,160","752","9,721","5,135","20,768","-"
"","Delahunty, Catherine","3,313","431","4,758","801","9,303","-"
"","Fitzsimons, Jeanette","1,067","116","1,849","1,693","4,724","-"
"","Graham, Kennedy","4,100","402","7,515","1,185","13,201","-"
"","Hague, Kevin","5,848","932","10,080","2,578","19,437","-"
"","Hughes, Gareth","-","687","4,951","1,594","7,233","-"
"","Kedgley, Sue","-","561","2,216","1,319","4,095","-"
"","Locke, Keith","3,697","982","8,659","3,167","16,505","-"
"","Norman, Russel","-","1,475","7,956","2,593","12,024","-"
"","Turei, Metiria","2,414","556","12,181","4,447","19,598","-"
"Total Green","","25,598","6,892","69,886","24,512","126,888","-"
"Labour","Ardern, Jacinda","3,418","414","6,638","4,018","14,488","-"
"","Barker, Rick","2,844","728","4,696","6,905","15,174","-"
"","Beaumont, Carol","4,934","538","6,645","3,036","15,153","-"
"","Burns, Brendon","1,991","561","9,657","4,760","16,969","-"
"","Carter, Chris","5,333","309","5,825","5,491","16,958","-"
"","Chadwick, Stephanie","3,556","406","8,092","4,585","16,638","-"
"","Chauvel, Charles","-","875","8,566","2,448","11,890","8,157"
"","Choudhary, Ashraf","6,642","445","4,986","4,168","16,242","-"
"","Cosgrove, Clayton","3,390","160","8,940","4,227","16,718","-"
"","Cunliffe, David","996","-","5,248","2,690","8,934","-"
"","Curran, Clare","2,229","730","6,445","5,510","14,914","-"
"","Dalziel, Lianne","1,707","658","5,546","1,991","9,901","-"
"","Davis, Kelvin","3,599","1,372","9,109","7,403","21,484","-"
"","Dyson, Ruth","-","-","5,557","2,721","8,278","1,716"
"","Fenton, Darien","2,276","643","5,185","4,558","12,661","-"
"","Goff, Phil","5,049","909","8,021","59,163","73,142","-"
"","Hawkins, George","3,322","-","3,470","3,792","10,585","-"
"","Hipkins, Chris","-","1,141","1,749","5,123","8,014","-"
"","Hodgson, Pete","1,849","284","8,090","3,383","13,606","-"
"","Horomia, Parekura","3,627","3,429","9,059","5,306","21,420","-"
"","Hughes, Darren","2,133","1,138","6,724","4,019","14,015","-"
"","Huo, Raymond","1,991","142","3,665","6,079","11,878","-"
"","Jones, Shane","5,333","1,397","14,192","5,934","26,857","-"
