"Total all parties","","338,157","68,361","1,170,275","473,226","2,050,020","37,358"
"Party","Member","Accommodation","Travel","Subtotal Parliamentary Service","Inter Parliamentary - Office of the Clerk"
"Wellington","Out of Wellington","Air","Surface"
"Act","Boscawen, John","996","-","9,191","1,933","12,120","-"
"","Douglas, Roger","1,707","391","8,852","2,987","13,937","-"
"","Garrett, David","1,031","419","10,563","8,434","20,447","-"
"","Hide, Rodney","-","-","25,163","57","25,220","-"
"","Roy, Heather","-","-","474","-","474","-"
"Total Act","","3,733","810","54,243","13,411","72,198","-"
"Green","Bradford, Sue","4,816","798","9,013","3,447","18,074","-"
"","Delahunty, Catherine","2,933","1,448","11,955","3,641","19,977","-"
"","Fitzsimons, Jeanette","2,933","535","8,661","4,055","16,184","-"
"","Graham, Kennedy","4,169","409","14,412","3,292","22,282","-"
"","Hague, Kevin","5,334","1,240","17,366","3,888","27,829","-"
"","Kedgley, Sue","-","387","4,147","1,542","6,076","-"
"","Locke, Keith","3,697","427","10,205","3,031","17,360","-"
"","Norman, Russel","-","1,561","6,027","2,914","10,502","-"
"","Turei, Metiria","3,664","922","15,955","6,397","26,937","-"
"Total  Green","","27,546","7,726","97,740","32,208","165,221","-"
"Labour","Ardern, Jacinda","3,710","1,105","8,380","3,242","16,437","-"
"","Barker, Rick","5,333","758","13,614","6,498","26,204","-"
"","Beaumont, Carol","3,413","453","9,044","3,054","15,964","-"
"","Burns, Brendon","2,818","463","15,049","3,732","22,063","1,767"
"","Carter, Chris","5,573","249","8,583","4,966","19,372","-"
"","Chadwick, Stephanie","5,333","942","12,926","5,551","24,753","-"
"","Chauvel, Charles","-","782","7,827","2,251","10,861","7,693"
"","Choudhary, Ashraf","4,261","378","7,673","2,745","15,057","1,878"
"","Cosgrove, Clayton","4,817","378","12,188","6,376","23,759","-"
"","Cunliffe, David","2,276","525","11,597","4,643","19,040","-"
"","Curran, Clare","3,792","865","11,411","4,325","20,393","-"
"","Dalziel, Lianne","2,498","1,412","11,817","3,538","19,266","-"
"","Davis, Kelvin","3,910","2,551","17,619","5,899","29,978","-"
"","Dyson, Ruth","-","-","4,492","4,536","9,028","-"
"","Fenton, Darien","2,702","284","9,785","6,745","19,517","-"
"","Goff, Phil","5,171","853","29,166","16,704","51,895","-"
"","Hawkins, George","4,740","284","20,690","4,401","30,116","-"
"","Hipkins, Chris","-","480","2,667","2,703","5,851","-"
"","Hodgson, Pete","3,929","597","11,967","3,503","19,997","-"
"","Horomia, Parekura","2,987","2,620","10,898","3,194","19,698","-"
"","Hughes, Darren","1,600","1,196","11,393","3,236","17,425","-"
"","Huo, Raymond","4,267","525","6,352","5,855","16,999","-"
"","Jones, Shane","5,556","1,642","20,735","7,141","35,074","-"
"","King, Annette","-","1,196","13,405","937","15,539","-"
"","Laban, Winnie","-","516","4,357","2,176","7,048","618"
"","Lees-Galloway, Iain","1,422","240","5,319","1,908","8,889","-"
"","Mackey, Moana","4,189","1,491","10,399","6,147","22,227","-"
"","Mahuta, Nanaia","5,333","685","8,896","5,910","20,824","-"
"","Mallard, Trevor","-","816","7,710","4,459","12,984","-"
"","Moroney, Sue","1,888","644","8,909","4,048","15,489","-"
"","Nash, Stuart","5,778","636","14,493","5,811","26,718","-"
"","O'Connor, Damien","-","98","17,486","4,069","21,653","1,921"
"","Parker, David","5,985","489","7,321","2,873","16,668","-"
"","Pillay, Lynne","5,743","626","10,092","4,689","21,150","-"
"","Prasad, Rajen","3,421","1,432","11,317","6,060","22,230","-"
"","Ririnui, Mita","4,800","240","8,525","6,414","19,979","-"
"","Robertson, Grant","-","355","5,294","1,152","6,801","-"
"","Robertson, Ross","3,280","381","25,742","8,906","38,308","618"
"","Sepuloni, Carmel","3,556","93","11,620","5,431","20,700","587"
"","Shearer, David","1,849","-","9,116","2,641","13,605","-"
"","Street, Maryan","8,703","1,647","21,663","5,618","37,631","-"
"","Twyford, Phil","3,547","284","13,848","4,286","21,964","-"
"","William, Su'a","5,243","525","7,503","5,712","18,983","-"
"Total Labour","","143,423","31,735","498,890","204,086","878,134","15,081"
"Māori","Flavell, Te Ururoa","5,434","1,537","11,536","5,718","24,225","-"
"","Harawira, Hone","4,836","3,978","24,330","19,942","53,084","-"
"","Katene, Rahui","5,491","2,196","15,387","6,264","29,339","-"
"","Sharples, Pita","-","-","2,885","500","3,386","-"
"","Turia, Tariana","-","-","2,401","136","2,537","-"
"Total Māori","","15,761","7,711","56,539","32,560","112,571","-"
"National","Adams, Amy","5,333","111","7,838","3,184","16,467","3,528"
"","Ardern, Shane","5,333","625","17,676","6,897","30,532","2,269"
"","Auchinvole, Chris","5,200","2,251","11,603","6,131","25,185","3,683"
"","Bakshi, Kanwaljit Singh","4,889","-","2,598","1,861","9,348","-"
"","Bennett, David","3,271","503","7,890","2,432","14,096","-"
"","Bennett, Paula","-","-","2,099","169","2,268","-"
"","Blue, Jackie","4,533","284","8,557","5,690","19,064","-"
"","Borrows, Chester","2,571","2,067","9,812","5,741","20,191","-"
"","Bridges, Simon","2,560","258","14,031","4,166","21,015","-"
"","Brownlee, Gerry","-","-","2,329","61","2,390","-"
"","Calder, Cam","4,124","129","9,322","3,654","17,229","-"
"","Carter, David","70","-","11,717","166","11,953","-"
"","Carter, John","-","-","5,603","3,498","9,102","-"
"","Coleman, Jonathan","-","-","3,974","-","3,974","-"
"","Collins, Judith","-","-","5,417","-","5,417","-"
"","Dean, Jacqui","5,778","922","8,700","11,603","27,002","656"
"","English, Bill","-","-","4,563","-","4,563","-"
"","Finlayson, Chris","-","-","-","-","-","-"
"","Foss, Craig","5,698","-","12,125","3,583","21,406","-"
"","Gilmore, Aaron","4,783","-","6,490","2,777","14,050","-"
"","Goodhew, Jo","5,327","934","9,384","5,053","20,698","-"
"","Goudie, Sandra","5,762","364","6,384","7,461","19,971","1,848"
"","Groser, Tim","-","-","-","-","-","-"
"","Guy, Nathan","-","-","13,091","367","13,458","-"
"","Hayes, John","4,923","992","3,657","7,227","16,799","656"
"","Heatley, Philip","-","-","11,302","-","11,302","-"
"","Henare, Tau","3,200","267","10,189","4,145","17,800","-"
"","Hutchison, Paul","5,778","524","11,293","8,388","25,984","656"
"","Joyce, Steven","-","-","1,715","-","1,715","-"
"","Kaye, Nikki","2,560","-","7,364","4,837","14,760","-"
"","Key, John","-","-","5,806","-","5,806","-"
"","King, Colin","5,507","711","12,938","4,341","23,496","1,767"
"","Lee, Melissa","5,316","469","8,329","6,219","20,333","-"
"","Lotu-liga, Peseta Sam","5,333","417","10,530","2,772","19,053","-"
"","Macindoe, Tim","3,271","347","8,038","3,651","15,307","-"
"","Mapp, Wayne","-","-","1,736","176","1,912","-"
"","McClay, Todd","3,129","392","8,928","3,667","16,116","656"
"","McCully, Murray","-","-","247","-","247","-"
"","Parata, Hekia","-","683","5,945","3,505","10,133","-"
"","Peachey, Allan","4,511","415","11,849","5,671","22,447","-"
"","Power, Simon","-","-","718","-","718","-"
"","Quinn, Paul","-","418","4,316","3,045","7,778","-"
"","Roy, Eric","3,344","356","8,506","5,350","17,556","-"
"","Ryall, Tony","-","-","4,078","-","4,078","-"
"","Shanks, Katrina","-","258","2,732","4,244","7,234","-"
"","Smith, Lockwood","6,000","1,721","13,724","16,182","37,626","-"
"","Smith, Nick","-","-","13,631","-","13,631","-"
"","Te Heuheu, Georgina","-","-","2,011","67","2,078","-"
"","Tisch, Lindsay","5,333","789","7,799","9,634","23,556","6,561"
"","Tolley, Anne","-","-","6,188","-","6,188","-"
"","Tremain, Chris","2,560","406","10,342","3,239","16,548","-"
"","Upston, Louise","5,431","609","8,697","7,957","22,695","-"
"","Wagner, Nicky","3,627","390","10,256","2,814","17,087","-"
"","Wilkinson, Kate","-","-","-","-","-","-"
"","Williamson, Maurice","-","-","10,984","-","10,984","-"
