"Total all parties","","350,917","52,042","861,048","611,785","1,875,793","128,972"
"Party","Member","Accommodation","Travel","Subtotal ParliamentaryService","Inter Parliamentary - Office of theClerk"
"Wellington","Out of Wellington","Air","Surface"
"Act","Boscawen, John","4,894","410","5,584","3,013","13,902","-"
"","Calvert, Hilary","5,520","3,141","11,546","3,347","23,554","-"
"","Douglas, Roger","3,478","276","6,500","5,649","15,904","-"
"","Hide, Rodney","-","-","1,118","1,651","2,769","-"
"","Roy, Heather","-","1,504","6,893","6,809","15,206","-"
"Total Act","","13,893","5,331","31,642","20,469","71,335","-"
"Green","Clendon, David","5,308","617","11,844","4,462","22,231","-"
"","Delahunty, Catherine","4,487","382","6,317","3,137","14,322","-"
"","Graham, Kennedy","4,224","256","13,284","2,925","20,690","-"
"","Hague, Kevin","5,050","1,956","12,963","5,904","25,873","-"
"","Hughes, Gareth","-","2,471","11,058","5,843","19,373","-"
"","Kedgley, Sue","-","329","4,262","1,572","6,163","-"
"","Locke, Keith","4,685","-","8,687","2,820","16,192","-"
"","Norman, Russel","-","1,101","7,589","3,088","11,778","-"
"","Tūrei, Metiria","2,834","781","17,596","4,591","25,802","-"
"Total Green","","26,587","7,894","93,599","34,343","162,423","-"
"Independent","Carter. Chris","5,652","-","7,483","5,073","18,207","-"
"","Harawira, Hone","1,936","2,855","17,125","13,982","35,898","-"
"Total Independent","","7,588","2,855","24,608","19,055","54,105","-"
"Labour","Ardern, Jacinda","3,661","230","8,744","4,453","17,088","-"
"","Barker, Rick","3,900","1,201","9,116","8,417","22,634","-"
"","Beaumont, Carol","3,285","217","9,424","4,283","17,211","-"
"","Burns, Brendon","5,273","-","10,087","3,858","19,218","5,632"
"","Chadwick, Stephanie","5,217","548","10,532","9,482","25,779","-"
"","Chauvel, Charles","-","939","6,571","2,608","10,118","-"
"","Choudhary, Ashraf","5,759","130","5,510","3,971","15,371","-"
"","Cosgrove, Clayton","6,596","313","11,913","8,965","27,788","-"
"","Cunliffe, David","6,274","-","7,715","5,338","19,326","-"
"","Curran, Clare","3,976","265","8,184","4,097","16,522","-"
"","Dalziel, Lianne","5,333","435","13,174","3,496","22,438","-"
"","Davis, Kelvin","4,612","549","6,027","6,568","17,756","-"
"","Dyson, Ruth","4,262","597","10,262","5,655","20,775","-"
"","Faafoi, Kris","-","297","4,798","5,760","10,856","-"
"","Fenton, Darien","3,339","48","7,007","6,837","17,231","-"
"","Goff, Phil","4,955","794","16,181","22,882","44,813","-"
"","Hawkins, George","4,689","-","5,934","3,217","13,840","-"
"","Hipkins, Chris","-","135","1,014","4,815","5,964","-"
"","Hodgson, Pete","2,487","-","8,309","3,025","13,821","15,513"
"","Horomia, Parekura","1,183","1,687","10,069","2,266","15,204","-"
"","Huo, Raymond","2,226","-","3,847","4,888","10,961","-"
"","Jones, Shane","3,478","274","16,271","7,026","27,050","-"
"","King, Annette","-","672","7,268","2,677","10,617","-"
"","Lees-Galloway, Iain","2,803","135","760","1,661","5,358","-"
"","Mackey, Moana","2,735","1,539","9,922","5,156","19,351","-"
"","Mahuta, Nanaia","5,217","622","5,199","5,863","16,901","-"
"","Mallard, Trevor","-","370","7,082","13,188","20,641","-"
"","Moroney, Sue","2,235","208","8,110","3,302","13,855","-"
"","Nash, Stuart","4,387","104","7,109","3,127","14,727","10,997"
"","O'Connor, Damien","3,390","645","14,948","11,416","30,399","-"
"","Parker, David","5,985","1,339","9,962","5,669","22,955","-"
"","Pillay, Lynne","5,297","-","8,745","4,882","18,924","-"
"","Prasad, Rajen","3,200","-","7,847","10,561","21,608","977"
"","Ririnui, Mita","1,774","350","19,012","9,536","30,672","-"
"","Robertson, Grant","-","284","7,036","1,055","8,375","-"
"","Robertson, Ross","2,609","-","4,095","10,684","17,388","-"
"","Sepuloni, Carmel","2,400","263","9,189","9,057","20,909","-"
"","Shearer, David","5,985","135","9,432","6,195","21,747","-"
"","Sio, Su'a William","2,226","103","5,321","3,842","11,492","16,947"
"","Street, Maryan","5,093","287","8,557","2,741","16,678","22,339"
"","Twyford, Phil","1,948","265","9,446","6,500","18,159","-"
"","Wall, Louisa","1,712","-","8,945","5,135","15,792","-"
"Total Labour","","139,501","15,983","358,675","254,151","768,310","72,404"
"Māori","Flavell, Te Ururoa","7,161","1,124","10,055","8,315","26,655","-"
"","Katene, Rahui","4,803","2,576","15,889","10,482","33,749","-"
"","Sharples, Pita","-","-","1,589","-","1,589","-"
"","Turia, Tariana","-","-","2,110","148","2,258","-"
"Māori Total","","11,963","3,700","29,642","18,945","64,250","-"
"National","Adams, Amy","4,386","423","9,624","4,291","18,725","-"
"","Ardern, Shane","5,217","491","4,823","10,780","21,313","-"
"","Auchinvole, Chris","5,087","683","9,145","14,633","29,548","-"
"","Bakshi, Kanwaljit Singh","2,643","139","16,496","7,076","26,354","-"
"","Bennett, David","2,643","536","4,401","4,898","12,478","-"
"","Bennett, Paula","-","-","442","-","442","-"
"","Blue, Jackie","4,435","135","9,292","7,336","21,198","-"
"","Borrows, Chester","3,772","756","7,055","7,345","18,928","1,561"
"","Bridges, Simon","2,226","1,411","9,282","4,922","17,841","-"
"","Brownlee, Gerry","-","-","2,167","-","2,167","-"
"","Calder, Cam","5,120","-","7,449","8,023","20,593","-"
"","Carter, David","-","-","1,472","36","1,509","-"
"","Carter, John","280","604","7,643","7,334","15,862","-"
"","Coleman, Jonathan","-","-","983","-","983","-"
"","Collins, Judith","-","-","1,230","-","1,230","-"
"","Dean, Jacqui","8,000","1,295","9,089","11,845","30,228","6,917"
"","English, Bill","-","-","4,453","112","4,565","-"
"","Finlayson, Chris","-","-","-","-","-","-"
"","Foss, Craig","2,176","-","7,006","3,505","12,688","5,348"
"","Gilmore, Aaron","4,298","-","11,244","5,513","21,054","-"
"","Goodhew, Jo","5,612","870","6,883","8,046","21,411","-"
"","Goudie, Sandra","4,640","1,057","6,952","6,938","19,586","-"
"","Groser, Tim","-","-","-","-","-","-"
"","Guy, Nathan","-","-","588","-","588","-"
"","Hayes, John","4,816","264","10,167","8,443","23,690","-"
"","Heatley, Philip","-","-","3,959","126","4,085","-"
"","Henare, Tau","4,374","-","11,931","5,668","21,974","-"
"","Hutchison, Paul","4,000","-","6,956","12,402","23,358","14,301"
"","Joyce, Steven","-","-","3,197","-","3,197","-"
"","Kaye, Nikki","5,652","-","9,035","8,447","23,134","-"
"","Key, John","-","-","2,883","-","2,883","-"
"","King, Colin","4,751","809","8,178","4,832","18,570","-"
"","Lee, Melissa","5,520","130","8,433","6,536","20,619","-"
"","Lotu-liga, Peseta Sam","6,000","-","7,319","5,557","18,876","-"
"","Macindoe, Tim","2,860","530","9,084","4,254","16,728","1,521"
"","Mapp, Wayne","-","-","1,218","-","1,218","-"
"","McClay, Todd","3,807","486","6,124","7,005","17,422","-"
"","McCully, Murray","-","-","-","-","-","-"
"","Parata, Hekia","-","-","2,408","911","3,319","-"
"","Peachey, Allan","4,429","-","7,400","8,044","19,873","-"
"","Power, Simon","-","-","2,613","-","2,613","-"
"","Quinn, Paul","-","278","2,724","5,892","8,895","-"
"","Ross, Jami-Lee","3,049","145","5,749","5,072","14,015","-"
"","Roy, Eric","3,792","252","6,828","4,637","15,509","-"
"","Ryall, Tony","-","-","3,107","-","3,107","-"
"","Shanks, Katrina","-","104","2,491","3,654","6,249","711"
"","Smith, Lockwood","9,375","1,651","5,823","16,014","32,863","26,208"
"","Smith, Nick","-","-","1,057","-","1,057","-"
"","Te Heuheu, Georgina","-","-","-","-","-","-"
"","Tisch, Lindsay","-","361","4,388","14,558","19,306","-"
"","Tolley, Anne","-","-","2,850","-","2,850","-"
"","Tremain, Chris","2,783","-","6,686","4,065","13,534","-"
"","Upston, Louise","5,354","1,054","7,258","8,694","22,360","-"
"","Wagner, Nicky","6,261","130","8,123","2,726","17,240","-"
"","Wilkinson, Kate","-","-","-","4,048","4,048","-"
"","Williamson, Maurice","-","-","1,153","-","1,153","-"
"","Woodhouse, Michael","5,556","401","7,497","3,136","16,590","-"
"","Young, Jonathan","3,668","407","8,005","3,731","15,811","-"
"Total National","","146,586","15,403","312,365","261,085","735,439","56,568"
"Progressive","Anderton, Jim","4,800","876","7,396","3,737","16,809","-"
"Total Progressive","","4,800","876","7,396","3,737","16,809","-"
"United Future","Dunne, Peter","-","-","3,121","-","3,121","-"
"Total United Future","","-","-","3,121","-","3,121","-"
