"Total all parties","","357,511","48,529","616,626","421,814","1,444,479","54,470"
"Party","Member","Accommodation","Travel","Subtotal Parliamentary Service","Inter Parliamentary - Office of the Clerk"
"Wellington","Out of Wellington","Air","Surface"
"Act","Boscawen, John","-","-","-","-","-","-"
"","Calvert, Hilary","6,900","139","6,543","2,766","16,348","-"
"","Douglas, Roger","1,391","-","4,623","2,107","8,122","-"
"","Hide, Rodney","-","-","1,934","128","2,062","-"
"","Roy, Heather","-","1,285","7,105","4,831","13,222","-"
"Total Act","","8,291","1,424","20,205","9,833","39,754","-"
"Green","Clendon, David","6,186","609","8,495","3,210","18,500","-"
"","Delahunty, Catherine","5,235","268","4,348","1,702","11,552","-"
"","Graham, Kennedy","4,819","104","6,736","2,054","13,713","-"
"","Hague, Kevin","5,780","1,058","12,166","4,809","23,812","-"
"","Hughes, Gareth","-","925","15,984","5,970","22,879","-"
"","Kedgley, Sue","-","489","3,190","933","4,613","-"
"","Locke, Keith","4,748","603","6,661","3,761","15,772","-"
"","Norman, Russel","-","689","4,048","1,661","6,398","-"
"","Turei, Metiria","1,701","1,326","17,668","4,221","24,915","-"
"Total Green","","28,468","6,070","79,296","28,321","142,154","-"
"Labour","Ardern, Jacinda","3,759","139","9,313","3,415","16,626","-"
"","Barker, Rick","4,550","566","7,124","4,707","16,948","-"
"","Beaumont, Carol","3,996","278","7,490","2,773","14,537","-"
"","Burns, Brendon","4,823","411","5,307","4,005","14,545","-"
"","Chadwick, Stephanie","6,956","552","7,442","6,131","21,081","-"
"","Chauvel, Charles","-","1,399","11,981","3,025","16,405","-"
"","Choudhary, Ashraf","7,043","121","4,232","3,014","14,410","-"
"","Cosgrove, Clayton","7,711","295","6,137","6,836","20,979","-"
"","Cunliffe, David","6,183","135","4,558","2,876","13,752","-"
"","Curran, Clare","3,882","429","4,167","2,954","11,432","11,450"
"","Dalziel, Lianne","5,333","-","3,766","1,204","10,304","-"
"","Davis, Kelvin","4,654","935","5,999","8,700","20,288","-"
"","Dyson, Ruth","-","-","(14,097)","696","(13,401)","-"
"","Faafoi, Kris","-","439","5,563","5,719","11,720","-"
"","Fenton, Darien","1,670","-","6,492","5,026","13,187","-"
"","Goff, Phil","6,548","1,581","11,636","18,074","37,839","-"
"","Hawkins, George","3,170","-","4,916","2,615","10,700","-"
"","Hipkins, Chris","-","436","1,606","3,859","5,901","-"
"","Hodgson, Pete","1,017","1,162","7,304","2,356","11,839","-"
"","Horomia, Parekura","3,548","3,235","8,842","4,435","20,060","-"
"","Hughes, Darren","1,617","1,191","6,052","5,621","14,482","-"
"","Huo, Raymond","974","-","4,276","7,347","12,597","-"
"","Jones, Shane","6,957","1,256","11,749","10,065","30,026","-"
"","King, Annette","-","467","5,819","2,070","8,356","-"
"","Laban, Winnie","-","-","-","-","-","-"
"","Lees-Galloway, Iain","2,706","541","3,142","2,026","8,415","-"
"","Mackey, Moana","5,463","2,892","9,890","4,832","23,078","-"
"","Mahuta, Nanaia","5,256","504","5,127","5,164","16,052","-"
"","Mallard, Trevor","-","576","5,723","5,485","11,785","-"
"","Moroney, Sue","8,545","1,463","4,295","2,946","17,249","-"
"","Nash, Stuart","1,447","623","5,292","5,216","12,579","-"
"","O'Connor, Damien","8,324","230","10,559","5,043","24,156","-"
"","Parker, David","5,985","857","6,509","3,778","17,128","-"
"","Pillay, Lynne","5,618","235","8,605","3,733","18,191","-"
"","Prasad, Rajen","400","139","6,462","3,336","10,337","9,972"
"","Ririnui, Mita","8,917","363","6,963","7,901","24,143","-"
"","Robertson, Grant","-","267","6,951","1,321","8,539","-"
"","Robertson, Ross","2,609","196","9,260","6,864","18,928","-"
