"Total all parties","","378,031","56,864","928,384","578,468","1,941,748","10,786"
"Party","Member","Accommodation","Travel","Subtotal Parliamentary Service","InterParliamentary- Office of theClerk"
"Wellington","Out of Wellington","Air","Surface"
"Act","Boscawen, John","-","-","12,209","5,824","18,033","-"
"","Calvert, Hilary","6,440","676","9,068","3,729","19,912","-"
"","Douglas, Roger","1,948","139","6,857","3,630","12,573","-"
"","Hide, Rodney","-","-","2,799","-","2,799","-"
"","Roy, Heather","-","1,081","7,781","3,899","12,760","-"
"Total Act","","8,388","1,896","38,713","17,081","66,078","-"
"Green","Clendon, David","6,250","625","10,976","5,094","22,945","-"
"","Delahunty, Catherine","5,235","-","9,240","3,473","17,948","-"
"","Graham, Kennedy","4,865","137","13,113","3,980","22,096","-"
"","Hague, Kevin","5,814","1,229","14,205","4,934","26,182","-"
"","Hughes, Gareth","-","1,790","12,710","5,424","19,924","-"
"","Kedgley, Sue","-","1,069","4,710","1,735","7,514","-"
"","Locke, Keith","4,751","1,165","14,528","4,785","25,230","-"
"","Norman, Russel","-","1,626","9,833","3,513","14,972","-"
"","Turei, Metiria","3,401","683","18,546","4,304","26,934","-"
"Total Green","","30,316","8,325","107,861","37,242","183,744","-"
"Independent","Carter, Chris","5,652","-","8,941","5,137","19,731","-"
"Total  Independent","","5,652","-","8,941","5,137","19,731","-"
"Labour","Ardern, Jacinda","3,702","265","10,699","5,882","20,548","-"
"","Barker, Rick","4,550","1,141","10,655","6,189","22,536","-"
"","Beaumont, Carol","6,482","263","15,470","5,543","27,758","-"
"","Burns, Brendon","4,837","251","7,987","3,413","16,488","-"
"","Chadwick, Stephanie","5,217","375","13,230","9,707","28,529","-"
"","Chauvel, Charles","-","1,800","6,798","4,051","12,649","-"
"","Choudhary, Ashraf","5,142","493","7,979","3,964","17,578","-"
"","Cosgrove, Clayton","3,965","331","12,462","9,960","26,718","-"
"","Cunliffe, David","6,000","-","9,275","4,835","20,111","-"
"","Curran, Clare","3,835","399","8,939","4,491","17,664","-"
"","Dalziel, Lianne","5,334","470","18,298","3,175","27,276","2,244"
"","Davis, Kelvin","4,593","130","16,642","6,924","28,288","-"
"","Dyson, Ruth","1,791","-","8,327","4,409","14,527","-"
"","Faafoi, Kris","-","138","4,101","11,192","15,431","-"
"","Fenton, Darien","1,766","234","7,536","5,968","15,503","-"
"","Goff, Phil","4,983","949","13,744","20,679","40,355","-"
"","Hawkins, George","4,649","-","7,898","3,952","16,499","-"
"","Hipkins, Chris","-","313","1,188","4,963","6,464","-"
"","Hodgson, Pete","1,808","-","8,665","4,684","15,157","-"
"","Horomia, Parekura","3,548","2,539","9,692","3,310","19,089","-"
"","Huo, Raymond","1,948","-","6,389","6,545","14,882","-"
"","Jones, Shane","5,217","677","19,666","11,427","36,987","-"
"","King, Annette","-","817","8,481","4,196","13,494","-"
"","Lees-Galloway, Iain","2,992","116","837","2,799","6,744","-"
"","Mackey, Moana","6,861","3,671","10,831","5,582","26,944","-"
"","Mahuta, Nanaia","5,217","445","5,858","7,030","18,550","-"
"","Mallard, Trevor","-","-","7,192","3,242","10,434","-"
"","Moroney, Sue","4,901","434","8,028","2,091","15,453","-"
"","Nash, Stuart","4,420","374","10,234","6,713","21,741","-"
"","O'Connor, Damien","5,167","502","18,708","8,473","32,850","-"
"","Parker, David","5,985","2,100","15,345","6,294","29,725","-"
"","Pillay, Lynne","6,461","-","6,679","3,824","16,965","-"
"","Prasad, Rajen","4,233","-","9,427","5,170","18,830","-"
"","Ririnui, Mita","6,818","250","11,888","11,060","30,016","-"
"","Robertson, Grant","-","474","7,434","951","8,858","-"
"","Robertson, Ross","2,609","-","6,897","9,161","18,666","-"
"","Sepuloni, Carmel","5,516","-","8,635","4,845","18,996","-"
"","Shearer, David","5,985","-","9,396","7,027","22,408","-"
"","Sio, Su'a William","1,670","139","7,494","6,194","15,497","997"
"","Street, Maryan","7,362","585","12,400","4,374","24,721","-"
"","Twyford, Phil","3,340","-","10,646","6,403","20,388","-"
"","Wall, Louisa","1,733","-","8,549","4,503","14,785","-"
"Total Labour","","160,637","20,674","410,597","255,195","847,103","3,241"
"Mana","Harawira, Hone","2,009","5,790","29,621","18,107","55,527","-"
"Total Mana","","2,009","5,790","29,621","18,107","55,527","-"
"Māori","Flavell, Te Ururoa","4,400","1,941","9,252","8,136","23,729","-"
"","Katene, Rahui","2,593","994","14,870","7,402","25,858","-"
"","Sharples, Pita","-","-","2,012","-","2,012","-"
"","Turia, Tariana","-","-","2,102","495","2,597","-"
"Total Māori","","6,993","2,935","28,236","16,034","54,197","-"
"National","Adams, Amy","5,165","643","10,491","5,684","21,983","-"
"","Ardern, Shane","1,739","-","4,864","12,691","19,295","-"
"","Auchinvole, Chris","3,391","1,133","9,706","5,146","19,376","-"
"","Bakshi, Kanwaljit Singh","2,365","206","7,677","2,792","13,041","-"
"","Bennett, David","2,365","-","4,340","7,899","14,605","-"
"","Bennett, Paula","-","-","399","23","423","-"
"","Blue, Jackie","4,435","135","5,001","6,779","16,349","-"
"","Borrows, Chester","3,803","-","11,803","7,866","23,471","-"
"","Bridges, Simon","2,783","978","10,801","5,408","19,970","-"
"","Brownlee, Gerry","-","-","1,373","-","1,373","-"
"","Calder, Cam","5,916","-","9,717","7,298","22,932","-"
"","Carter, David","-","-","3,973","-","3,973","-"
"","Carter, John","3,457","-","8,813","3,304","15,575","-"
"","Coleman, Jonathan","-","-","560","-","560","-"
"","Collins, Judith","-","-","1,266","-","1,266","-"
"","Dean, Jacqui","5,217","1,080","8,182","10,863","25,342","-"
"","English, Bill","-","-","1,157","-","1,157","-"
"","Finlayson, Chris","-","-","-","-","-","-"
"","Foss, Craig","-","-","1,320","71","1,391","-"
"","Gilmore, Aaron","4,124","111","9,368","7,706","21,309","-"
"","Goodhew, Jo","4,810","635","7,735","7,974","21,154","-"
"","Goudie, Sandra","3,014","157","5,470","9,741","18,382","-"
"","Groser, Tim","-","-","-","-","-","-"
"","Guy, Nathan","-","-","1,290","-","1,290","-"
"","Hayes, John","4,816","3,290","7,204","10,046","25,357","937"
"","Heatley, Philip","-","-","6,116","159","6,275","-"
"","Henare, Tau","6,000","126","7,804","7,301","21,231","-"
"","Hutchison, Paul","8,000","139","8,793","11,201","28,133","-"
"","Joyce, Steven","-","-","2,427","-","2,427","-"
"","Kaye, Nikki","6,514","-","6,657","9,889","23,059","-"
"","Key, John","-","-","906","-","906","-"
"","King, Colin","5,424","783","9,940","6,715","22,862","-"
"","Lee, Melissa","6,440","139","7,985","5,735","20,300","-"
"","Lotu-liga, Peseta Sam","6,000","-","6,597","6,464","19,062","-"
"","Macindoe, Tim","1,530","-","5,284","3,115","9,929","1,843"
"","Mapp, Wayne","-","-","-","-","-","-"
"","McClay, Todd","4,739","139","6,105","4,201","15,184","-"
"","McCully, Murray","-","-","-","13","13","-"
"","Parata, Hekia","-","-","492","-","492","-"
"","Peachey, Allan","5,148","-","6,844","7,344","19,336","-"
"","Power, Simon","-","-","-","-","-","-"
"","Quinn, Paul","-","452","4,515","4,239","9,206","-"
"","Ross, Jami-Lee","6,439","126","4,841","4,743","16,150","-"
"","Roy, Eric","3,748","622","6,365","6,368","17,103","4,765"
"","Ryall, Tony","-","-","870","-","870","-"
"","Shanks, Katrina","-","145","729","2,374","3,248","-"
"","Smith, Lockwood","9,375","1,779","6,885","5,383","23,421","-"
"","Smith, Nick","-","-","5,465","-","5,465","-"
"","Te Heuheu, Georgina","-","-","-","-","-","-"
"","Tisch, Lindsay","9,375","933","6,196","6,480","22,983","-"
"","Tolley, Anne","-","-","1,997","-","1,997","-"
"","Tremain, Chris","3,061","-","7,604","5,176","15,840","-"
"","Upston, Louise","6,095","1,495","9,785","9,135","26,510","-"
"","Wagner, Nicky","3,478","461","8,997","2,162","15,098","-"
"","Wilkinson, Kate","-","-","-","-","-","-"
"","Williamson, Maurice","-","-","3,094","-","3,094","-"
"","Woodhouse, Michael","6,469","277","10,917","3,662","21,324","-"
"","Young, Jonathan","3,200","-","7,538","2,966","13,704","-"
"Total National","","158,437","15,984","294,256","226,116","694,793","7,545"
"Progressive","Anderton, Jim","5,600","1,261","8,964","3,555","19,380","-"
"Total Progressive","","5,600","1,261","8,964","3,555","19,380","-"
"United Future","Dunne, Peter","-","-","1,197","-","1,197","-"
"Total United Future","","-","-","1,197","-","1,197","-"
