"Total all parties","","350,742","42,343","829,331","568,541","1,790,956","96,291"
"Party","Member","Accommodation","Travel","Subtotal Parliamentary Service","Inter Parliamentary
- Office of the Clerk"
"Wellington","Out of Wellington","Air","Surface"
"Act","Boscawen, John","4,551","670","7,529","2,069","14,819","-"
"","Douglas, Roger","4,267","140","4,646","4,750","13,803","-"
"","Garrett, David","1,900","767","5,388","8,161","16,216","-"
"","Hide, Rodney","-","-","1,272","24","1,296","-"
"","Roy, Heather","-","-","1,659","-","1,659","-"
"Total Act","","10,718","1,577","20,494","15,003","47,792","-"
"Green","Bradford, Sue","1,706","348","3,667","1,492","7,213","-"
"","Clendon, David","3,313","-","7,134","1,609","12,056","-"
"","Delahunty, Catherine","4,290","893","7,918","3,289","16,391","-"
"","Fitzsimons, Jeanette","2,529","272","9,290","4,271","16,362","-"
"","Graham, Kennedy","4,060","290","11,776","3,073","19,199","-"
"","Hague, Kevin","5,324","1,320","11,846","4,089","22,580","-"
"","Kedgley, Sue","-","464","1,361","980","2,805","10,539"
"","Locke, Keith","3,697","-","8,383","3,791","15,870","-"
"","Norman, Russel","-","1,178","8,422","2,997","12,597","-"
"","Turei, Metiria","3,631","1,046","13,082","6,680","24,440","-"
"Total Green","","28,550","5,812","82,878","32,272","149,513","10,539"
"Labour","Ardern, Jacinda","2,764","204","7,227","5,222","15,416","-"
"","Barker, Rick","5,333","1,537","11,638","11,195","29,703","-"
"","Beaumont, Carol","3,271","140","6,242","3,372","13,025","-"
"","Burns, Brendon","2,987","1,096","8,953","4,609","17,645","-"
"","Carter, Chris","5,333","-","12,997","7,324","25,654","-"
"","Chadwick, Stephanie","7,111","270","13,655","6,842","27,878","-"
"","Chauvel, Charles","-","924","12,648","3,399","16,971","-"
"","Choudhary, Ashraf","3,831","274","4,920","3,141","12,166","-"
"","Cosgrove, Clayton","6,257","458","11,742","7,132","25,589","-"
"","Cunliffe, David","2,418","-","5,156","3,109","10,683","-"
"","Curran, Clare","5,221","904","8,039","4,163","18,328","-"
"","Dalziel, Lianne","2,418","267","13,536","3,348","19,569","-"
"","Davis, Kelvin","3,802","947","11,636","5,617","22,002","5,686"
"","Dyson, Ruth","1,966","893","5,124","5,886","13,870","-"
"","Fenton, Darien","2,702","135","5,594","5,702","14,134","-"
"","Goff, Phil","5,055","190","14,551","69,657","89,454","-"
"","Hawkins, George","6,163","108","5,893","5,042","17,206","-"
"","Hipkins, Chris","-","998","2,080","4,027","7,106","-"
"","Hodgson, Pete","3,236","-","8,067","4,145","15,447","-"
"","Horomia, Parekura","2,773","2,514","7,687","4,506","17,480","-"
"","Hughes, Darren","1,200","284","4,665","4,439","10,588","-"
"","Huo, Raymond","1,991","129","8,641","9,252","20,013","-"
"","Jones, Shane","5,333","2,254","15,807","7,980","31,375","-"
"","King, Annette","-","595","4,145","2,047","6,787","-"
"","Laban, Winnie","-","612","9,783","4,895","15,290","-"
"","Lees-Galloway, Iain","8,107","-","1,732","5,645","15,484","-"
"","Mackey, Moana","4,195","1,392","8,766","8,291","22,643","-"
"","Mahuta, Nanaia","2,667","498","410","2,655","6,230","-"
"","Mallard, Trevor","-","145","12,820","4,340","17,305","-"
"","Moroney, Sue","1,357","249","3,993","2,367","7,967","9,647"
"","Nash, Stuart","9,630","-","9,159","7,321","26,110","-"
"","O'Connor, Damien","-","1,247","12,557","5,272","19,077","-"
"","Parker, David","5,985","-","7,472","2,024","15,481","-"
"","Pillay, Lynne","4,923","124","11,803","5,075","21,926","-"
"","Prasad, Rajen","1,707","370","6,009","5,666","13,751","13,852"
"","Ririnui, Mita","6,400","247","12,738","8,776","28,161","-"
"","Robertson, Grant","-","115","2,690","804","3,609","-"
"","Robertson, Ross","4,373","-","14,755","6,792","25,920","-"
"","Sepuloni, Carmel","9,778","-","10,221","6,391","26,390","9,804"
"","Shearer, David","2,844","284","8,021","5,760","16,910","-"
"","Street, Maryan","6,248","446","10,950","3,727","21,371","-"
"","Twyford, Phil","6,207","265","14,018","4,995","25,485","-"
"","William, Su'a","5,222","108","8,442","5,771","19,543","-"
"Total Labour","","161,990","20,042","376,984","287,723","846,739","38,989"
"Māori","Flavell, Te Ururoa","5,583","538","14,707","7,990","28,819","-"
"","Harawira, Hone","427","995","20,507","13,843","35,772","12,639"
"","Katene, Rahui","3,800","1,143","14,460","5,184","24,587","-"
"","Sharples, Pita","-","-","398","236","634","-"
"","Turia, Tariana","-","-","1,081","-","1,081","-"
"Total Māori","","9,810","2,676","51,153","27,253","90,892","12,639"
"National","Adams, Amy","5,333","525","7,442","4,204","17,504","-"
"","Ardern, Shane","5,333","280","16,607","2,389","24,609","10,278"
"","Auchinvole, Chris","3,467","786","7,955","5,692","17,900","-"
"","Bakshi, Kanwaljit Singh","4,800","-","8,369","4,314","17,483","-"
"","Bennett, David","3,129","244","6,350","5,812","15,535","-"
"","Bennett, Paula","-","-","2,621","-","2,621","-"
"","Blue, Jackie","4,533","-","5,221","4,841","14,595","-"
"","Borrows, Chester","3,995","-","8,721","6,259","18,974","-"
"","Bridges, Simon","2,844","284","8,813","3,746","15,688","-"
"","Brownlee, Gerry","-","-","1,838","30","1,868","-"
"","Calder, Cam","2,560","200","7,211","3,671","13,641","-"
"","Carter, David","-","-","1,101","23","1,124","-"
"","Carter, John","-","-","12,827","-","12,827","-"
"","Coleman, Jonathan","-","-","-","-","-","-"
"","Collins, Judith","-","-","983","-","983","-"
"","Dean, Jacqui","5,778","502","5,857","12,023","24,160","-"
"","English, Bill","-","-","3,422","-","3,422","-"
"","Finlayson, Chris","-","-","-","32","32","-"
"","Foss, Craig","3,875","-","4,989","3,464","12,328","-"
"","Gilmore, Aaron","4,847","145","9,358","5,077","19,427","-"
"","Goodhew, Jo","5,327","1,249","8,576","5,388","20,540","-"
"","Goudie, Sandra","3,556","440","4,313","5,449","13,758","-"
"","Groser, Tim","-","-","340","-","340","-"
"","Guy, Nathan","-","-","1,208","102","1,310","-"
"","Hayes, John","3,282","133","2,916","5,600","11,932","-"
"","Heatley, Philip","-","-","1,680","126","1,806","-"
"","Henare, Tau","3,200","141","12,330","7,349","23,020","-"
"","Hutchison, Paul","6,000","-","7,402","9,499","22,900","10,012"
"","Joyce, Steven","-","-","407","-","407","-"
"","Kaye, Nikki","3,129","320","6,980","6,076","16,504","-"
"","Key, John","-","-","1,381","-","1,381","-"
"","King, Colin","3,639","418","12,048","3,876","19,980","-"
"","Lee, Melissa","4,907","364","7,607","7,408","20,287","-"
"","Lotu-liga, Peseta Sam","5,333","-","6,322","6,840","18,495","-"
"","Macindoe, Tim","1,991","142","4,499","2,492","9,124","-"
"","Mapp, Wayne","-","-","-","61","61","-"
"","McClay, Todd","2,418","336","11,264","3,596","17,615","-"
"","McCully, Murray","-","-","-","-","-","-"
"","Parata, Hekia","-","862","1,724","3,144","5,731","-"
"","Peachey, Allan","4,504","-","7,317","5,603","17,424","-"
"","Power, Simon","-","-","128","-","128","-"
"","Quinn, Paul","-","567","5,115","4,442","10,123","-"
"","Roy, Eric","3,303","142","5,928","4,829","14,203","-"
"","Ryall, Tony","-","-","3,315","-","3,315","-"
"","Shanks, Katrina","-","106","1,029","1,979","3,114","13,834"
"","Smith, Lockwood","6,000","655","8,680","22,698","38,033","-"
"","Smith, Nick","-","-","6,442","-","6,442","-"
"","Te Heuheu, Georgina","-","-","974","-","974","-"
"","Tisch, Lindsay","1,778","142","4,127","11,758","17,805","-"
"","Tolley, Anne","-","-","7,411","71","7,482","-"
"","Tremain, Chris","2,702","-","3,294","4,972","10,969","-"
"","Upston, Louise","6,323","1,847","6,084","6,776","21,030","-"
"","Wagner, Nicky","6,444","649","6,829","2,014","15,936","-"
"","Wilkinson, Kate","-","-","-","3,510","3,510","-"
"","Williamson, Maurice","-","-","1,417","-","1,417","-"
"","Wong, Pansy","-","-","1,374","62","1,436","-"
"","Woodhouse, Michael","4,712","240","9,344","4,179","18,476","-"
"","Young, Jonathan","4,907","79","4,652","1,987","11,625","-"
"Total National","","133,949","11,801","294,143","203,465","643,357","34,124"
"Progressive","Anderton, Jim","5,724","436","3,262","2,825","12,247","-"
"Total Progressive","","5,724","436","3,262","2,825","12,247","-"
"United Future","Dunne, Peter","-","-","416","-","416","-"
"Total United Future","","-","-","416","-","416","-"
